Dates,Times,ING Stage DCP-raw
6/26/2020,16:45:00,0.29
6/26/2020,17:00:00,0.29
6/26/2020,17:15:00,0.28
6/26/2020,17:30:00,0.28
6/26/2020,17:45:00,0.27
6/26/2020,18:00:00,0.27
6/26/2020,18:15:00,0.28
6/26/2020,18:30:00,0.28
6/26/2020,18:45:00,0.28
6/26/2020,19:00:00,0.29
6/26/2020,19:15:00,0.3
6/26/2020,19:30:00,0.3
6/26/2020,19:45:00,0.3
6/26/2020,20:00:00,0.32
6/26/2020,20:15:00,0.33
6/26/2020,20:30:00,0.34
6/26/2020,20:45:00,0.37
6/26/2020,21:00:00,0.39
6/26/2020,21:15:00,0.41
6/26/2020,21:30:00,0.42
6/26/2020,21:45:00,0.45
6/26/2020,22:00:00, 
6/26/2020,22:15:00,0.49
6/26/2020,22:30:00,0.52
6/26/2020,22:45:00,0.55
6/26/2020,23:00:00, 
6/26/2020,23:15:00,0.58
6/26/2020,23:30:00,0.61
6/26/2020,23:45:00,0.63
6/27/2020,0:00:00, 
6/27/2020,0:15:00,0.68
6/27/2020,0:30:00,0.7
6/27/2020,0:45:00,0.72
6/27/2020,1:00:00,0.73
6/27/2020,1:15:00,0.74
6/27/2020,1:30:00,0.76
6/27/2020,1:45:00,0.77
6/27/2020,2:00:00,0.79
6/27/2020,2:15:00,0.8
6/27/2020,2:30:00,0.8
6/27/2020,2:45:00,0.8
6/27/2020,3:00:00,0.79
6/27/2020,3:15:00,0.8
6/27/2020,3:30:00,0.81
6/27/2020,3:45:00,0.8
6/27/2020,4:00:00, 
6/27/2020,4:15:00,0.8
6/27/2020,4:30:00,0.8
6/27/2020,4:45:00,0.8
6/27/2020,5:00:00,0.79
6/27/2020,5:15:00,0.78
6/27/2020,5:30:00,0.77
6/27/2020,5:45:00,0.77
6/27/2020,6:00:00,0.76
6/27/2020,6:15:00,0.76
6/27/2020,6:30:00,0.75
6/27/2020,6:45:00,0.74
6/27/2020,7:00:00,0.74
6/27/2020,7:15:00,0.72
6/27/2020,7:30:00,0.71
6/27/2020,7:45:00,0.7
6/27/2020,8:00:00,0.68
6/27/2020,8:15:00,0.66
6/27/2020,8:30:00,0.66
6/27/2020,8:45:00,0.64
6/27/2020,9:00:00,0.63
6/27/2020,9:15:00,0.62
6/27/2020,9:30:00,0.6
6/27/2020,9:45:00,0.59
6/27/2020,10:00:00, 
6/27/2020,10:15:00,0.57
6/27/2020,10:30:00,0.55
6/27/2020,10:45:00,0.54
6/27/2020,11:00:00,0.52
6/27/2020,11:15:00,0.51
6/27/2020,11:30:00,0.5
6/27/2020,11:45:00,0.48
6/27/2020,12:00:00, 
6/27/2020,12:15:00,0.46
6/27/2020,12:30:00,0.45
6/27/2020,12:45:00,0.43
6/27/2020,13:00:00,0.42
6/27/2020,13:15:00,0.41
6/27/2020,13:30:00,0.39
6/27/2020,13:45:00,0.38
6/27/2020,14:00:00, 
6/27/2020,14:15:00,0.36
6/27/2020,14:30:00,0.35
6/27/2020,14:45:00,0.34
6/27/2020,15:00:00, 
6/27/2020,15:15:00,0.32
6/27/2020,15:30:00,0.32
6/27/2020,15:45:00,0.31
6/27/2020,16:00:00,0.3
6/27/2020,16:15:00,0.3
6/27/2020,16:30:00,0.29
6/27/2020,16:45:00,0.28
6/27/2020,17:00:00,0.28
6/27/2020,17:15:00,0.28
6/27/2020,17:30:00,0.27
6/27/2020,17:45:00,0.27
6/27/2020,18:00:00, 
6/27/2020,18:15:00,0.28
6/27/2020,18:30:00,0.28
6/27/2020,18:45:00,0.28
6/27/2020,19:00:00,0.29
6/27/2020,19:15:00,0.3
6/27/2020,19:30:00,0.3
6/27/2020,19:45:00,0.32
6/27/2020,20:00:00,0.34
6/27/2020,20:15:00,0.36
6/27/2020,20:30:00,0.38
6/27/2020,20:45:00,0.41
6/27/2020,21:00:00,0.43
6/27/2020,21:15:00,0.45
6/27/2020,21:30:00,0.49
6/27/2020,21:45:00,0.53
6/27/2020,22:00:00,0.57
6/27/2020,22:15:00,0.6
6/27/2020,22:30:00,0.65
6/27/2020,22:45:00,0.68
6/27/2020,23:00:00, 
6/27/2020,23:15:00,0.76
6/27/2020,23:30:00,0.78
6/27/2020,23:45:00,0.83
6/28/2020,0:00:00,0.86
6/28/2020,0:15:00,0.9
6/28/2020,0:30:00,0.91
6/28/2020,0:45:00,0.93
6/28/2020,1:00:00,0.98
6/28/2020,1:15:00,0.98
6/28/2020,1:30:00,1.01
6/28/2020,1:45:00,1.04
6/28/2020,2:00:00, 
